Measure ID,DATA ELEMENT NAME,"CODING SYSTEM",CODE,MODIFIER,"PLACE OF SERVICE",AGE,GENDER
1,DX_CODE,I10,E13.3552,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3553,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3559,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3591,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3592,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3593,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3599,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.36,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.37X1,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.37X2,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.37X3,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.37X9,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.39,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.40,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.41,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.42,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.43,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.44,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.49,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.51,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.52,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.59,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.610,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.618,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.620,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.621,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.622,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.628,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.630,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.638,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.641,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.649,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.65,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.69,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.8,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.9,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.011,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.012,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.013,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.019,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.02,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.03,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.111,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.112,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.113,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.119,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.12,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.13,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.311,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.312,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.313,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.319,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.32,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.33,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.811,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.812,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.813,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.819,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.82,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.83,,,18 - 75,"M, F"
