Measure ID,DATA ELEMENT NAME,"CODING SYSTEM",CODE,MODIFIER,"PLACE OF SERVICE",AGE,GENDER
1,DX_CODE,I10,E11.3212,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3213,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3219,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3291,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3292,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3293,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3299,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3311,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3312,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3313,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3319,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3391,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3392,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3393,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3399,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3411,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3412,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3413,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3419,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3491,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3492,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3493,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3499,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3511,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3512,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3513,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3519,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3521,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3522,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3523,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3529,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3531,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3532,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3533,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3539,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3541,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3542,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3543,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3549,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3551,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3552,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3553,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3559,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3591,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3592,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3593,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.3599,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.36,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.37X1,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.37X2,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.37X3,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.37X9,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.39,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.40,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.41,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.42,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.43,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.44,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.49,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.51,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.52,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.59,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.610,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.618,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.620,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.621,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.622,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.628,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.630,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.638,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.641,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.649,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.65,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.69,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.8,,,18 - 75,"M, F"
1,DX_CODE,I10,E11.9,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.00,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.01,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.10,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.11,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.21,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.22,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.29,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.311,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.319,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3211,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3212,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3213,,,18 - 75,"M, F"
