Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
QCDR,,,,,QMM23,,"6394618, 5303416, 6704504","Percentage of emphysema patients, aged 50-80 at the time of service, who undergo a CT/CTA of the chest in which the Final Report:
1) Mentions that the presence of pulmonary emphysema on CT is an independent risk factor for lung cancer, AND
2) Includes a recommendation to consider the patient for low dose CT (LDCT) lung cancer screening in the future (current chest CT serves as a baseline).",,,,,,,,,,,,,,,
QCDR,,,,,QMM25,,"7418330, 6704504",,,,,,,,,,,,,,,,
QCDR,,,,,QMM26,,"6394618, 5303416, 6704504",,,,,,,,,,,,,,,,
QCDR,,,,,QMM27,,"6394618, 5303416, 6704504",Percentage of final reports for computed tomography/computed tomography angiography (CT/CTA) of the abdomen or abdomen/pelvis or magnetic resonance imaging/magnetic resonance angiography (MRI/MRA) of the abdomen for patients 18 years of age and older with a pancreatic cyst incidentally noted that include documentation of cyst classification/morphology and follow-up imaging recommendation(s) in accordance with published guidelines and source of recommendation.,,,,,,,,,,,,,,,
QCDR,,,,,QMM28,,"6394618, 5303416, 6704504",,,,,,,,,,,,,,,,
QCDR,Intracerebral Hemorrhage (ICH) on Non-Contrast CT Head,,,,QMM32,,"6394618, 5303416",,,,,,,,,,,,,,,,
QCDR,,,,,THEPQR1,,"1725296, 5133825",,,,,,,,,,,,,,,,
QCDR,,,,,THEPQR2,,"1725296, 5133825",,,,,,,,,,,,,,,,
QCDR,,,,,THEPQR4,,1725296,,,,,,,,,,,,,,,,
QCDR,,,,,THEPQR5,,"1725296, 3967247",,,,,,,,,,,,,,,,
QCDR,,,,,THEPQR6,,"1725296, 3967247",,,,,,,,,,,,,,,,
QCDR,,,,,THEPQR7,,"1725296, 3967247",,,,,,,,,,,,,,,,
QCDR,,,,,USWR30,"U.S. Wound Registry in Collaboration with Intellicure, LLC","6853338, 1718371",,,,,,,,,,,,,,,,
QCDR,,,,,USWR32,"U.S. Wound Registry in Collaboration with Intellicure, LLC","6853338, 1718371",,,,,,,,,,,,,,,,
QCDR,,,,,USWR33,"U.S. Wound Registry in Collaboration with Intellicure, LLC",,,,,,,,,,,,,,,,,
QCDR,,,,,USWR34,"U.S. Wound Registry in Collaboration with Intellicure, LLC",,,,,,,,,,,,,,,,,
QCDR,Actinic Keratosis: Patient-Reported Treatment Effectiveness and Care Satisfaction ,,,,AAD20,,,"Percentage of adult patients (greater than or equal to 18 years old) who self-report favorable outcomes  resulting from a recommended treatment or management approach for Actinic Keratosis (AK) and who self-report satisfaction with the treatment or management of AK. Patients provide a global assessment of the perceived effectiveness of the AK treatment or management plan, followed by their satisfaction and future treatment preference. Evaluating both treatment effectiveness and patient satisfaction supports patient-provider communication and promotes patient-centered approaches to AK care.",,,,,,,,,,,,,,,
QCDR,,,,,AAD6,,,Percentage of patients with skin biopsy specimens with a diagnosis of cutaneous basal or squamous cell carcinoma or melanoma (including in situ disease) or primary cutaneous malignancies who are notified of their final biopsy pathology findings within less than or equal to 8 days from the time the biopsy was performed.,,,,,,,,,,,,,,,
QCDR,,,,,AAO32,,,"Percentage of patients diagnosed with Benign Positional Paroxysmal Vertigo (BPPV) who received vestibular testing, imaging, and antihistamine, benzodiazepine, or vestibular suppressant medications.",,,,,,,,,,,,,,,
QCDR,,,,,ABFM13,,,"This measure evaluates the extent primary care physicians (PCPs) perform care-based and procedural-based services core to primary care (licensure ensures competence of these services). For each PCP, the resulting value reflects an average of the weighted proportion of services within each category performed during the measurement period.       

Scores are based on weighted averages of 19 care-based and 20 procedural-based core primary care services resulting in scores between 0 and 100. 

Inclusion criteria: Primary care physicians who have provided care to 30 or more patients regardless of age within the measurement period  (the performance year and the 12 months prior to the performance year).See Figure 1: Physician and Care Site Identifier in the Measure Specification Figures and Tables document under the Additional Supporting Documentation section for the variables used to determine if physicians meet the inclusion criteria (Step 1 and 2 of the Measure Calculation Algorithm (also found in the Measure Specification Figures and Tables document). 

Throughout this application, since the fields do not accept scientific formulas, tables or figures, we have attached those items in the Additional Supporting Documentation section. ",,,,,,,,,,,,,,,
QCDR,,,,,ACEP53,,,"Percentage of emergency department visits for patients aged 18-50 years presenting with flank pain with a history of kidney stones during which no imaging is ordered, OR appropriate imaging (plain film radiography or ultrasound) is ordered.",,,,,,,,,,,,,,,
QCDR,,,,,AQI79,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR) in Collaboration with American Society of Anesthesiologists (ASA),,"The percentage of patients, aged 1 and above, who undergo a surgical, therapeutic, or diagnostic procedure that involves using a non-depolarizing neuromuscular blockade medication who have a documented quantitative train-of-four ratio of greater than or equal to 0.9 before tracheal extubation in the operating room, post-anesthesia care unit, non-operating room anesthetizing location, or earliest extubation.   ",,,,,,,,,,,,,,,
QCDR,,,,,CAP42,,,"Percentage of esophageal biopsy reports with a diagnosis of Barrett's esophagus that include documentation of a consultation* with a second pathologist for confirmation of dysplasia grading.

*Consultation at the time of diagnosis or addendum to preliminary pathology report",,,,,,,,,,,,,,,
QCDR,,,,,QMM33,,,Percentage of final immunohistochemical staining reports for patients with an initial diagnosis of metastatic melanoma that contain a recommendation for or the results of BRAF testing (either by immunohistochemistry (IHC) and/or molecular testing).,,,,,,,,,,,,,,,
QCDR,,,,,QMM34,,,"Percentage of final pathology reports for immunohistochemistry (IHC) for HER2/neu testing for invasive breast cancer that include interpretation of the results in accordance with the 2018, 2023 or later ASCO-CAP Guideline Update.",,,,,,,,,,,,,,,
QCDR,,,,,ACEP30,,,,,,,2026,,,,,,,,,,,
QCDR,"Sepsis diagnosis and management: Lactate Level Measurement, Antibiotics Ordered, and Fluid 
Septic shock outcomes: Lactate clearance rate of greater than equal to 10%",,,,ACEP72,ACEP's Clinical Emergency Data Registry (CEDR),5133825,"This measure will be calculated with 2 performance rates:
1.	Percentage of patients aged ≥ 18 years visiting the emergency department with sepsis or septic shock resulting in hospital admission or transfers and who had an order for all the following: a serum lactate level, antibiotics, and >= 1 L of crystalloids.
2.	Percentage of patients aged ≥ 18 years visiting the emergency department with septic shock resulting in hospital admission or transfers who had an initial and repeat lactate performed, where the first serum lactate result (>2mmol/L) is elevated and a lactate clearance rate of >= 10% achieved during the emergency department visit.",Outcome,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,,,,,ACRAD36,,,,,,,2026,,,,,,,,,,,
QCDR,Comprehensive Reporting of Coronary Artery Calcification (CAC) on Chest CT,,,,ACRAD44,American College of Radiology National Radiology Data Registry,"5303416, 6394618, 6704504, 7037323","Percentage of final reports for any chest CT examinations (non-cardiac, with or without contrast) performed on patients, aged 18 and older, that:
1. Document the presence or absence of coronary artery calcification (CAC),
2. If CAC is present, include documentation of a qualitative visual assessment of CAC and a recommendation that the patient consult with their primary care clinician for a comprehensive cardiovascular risk assessment, or a quantitative ordinal assessment of CAC for each of the four main coronary arteries. Recommendations for cardiovascular risk assessment should accompany any non-zero score.",Process,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,,,,,ACRAD37,,,,,,,2026,,,,,,,,,,,
QCDR,Interpretation of CT Pulmonary Angiography (CTPA) for Pulmonary Embolism,,,,ACRAD45,American College of Radiology National Radiology Data Registry,"5303416, 6394618, 7037323","Percentage of final reports for patients aged 18 years and older undergoing CT pulmonary angiography (CTPA) with a finding of PE that specify the branching order level of the most proximal level of embolus (i.e. main, lobar, interlobar, segmental, subsegmental); AND right ventricle to left ventricle (RV/LV) ratio, when assessable. If the RV/LV ratio is ?1.0, report the specific ratio value, as this may be associated with increased risk for adverse outcomes, and if the RV/LV ratio is <1.0, report that the ratio is within normal limits, optionally including a range (e.g., 0.7-0.9) to support clinical context.",Process,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,,,,,AJRR12,,,,,,,2026,,,,,,,,,,,
QCDR,Physical Health Outcomes in Total Hip and Knee Arthroplasty,,,,AJRR16,AAOS Orthopaedic Quality Resource Center,"5224253,1157686, 3967247, 6394618",Percentage of patients with patient-reported meaningful improvement in anatomic specific HOOS/KOOS JR after elective total hip and knee arthroplasty.,Patient-Reported Outcome-Based Performance Measure,Y,2026,,QCDR,,N,multiPerformanceRate,simpleAverage,,,,,,N
QCDR,,,,,AJRR13,,,,,,,2026,,,,,,,,,,,
QCDR,Improvement in Pain Assessment Following Spine Fusion Procedures,,,,AJRR17,AAOS Orthopaedic Quality Resource Center,"5224253, 1157686, 3967247",Percentage of patients with patient-reported meaningful improvement in pain following lumbar or cervical spine procedures,Patient-Reported Outcome-Based Performance Measure,Y,2026,,QCDR,,N,multiPerformanceRate,simpleAverage,,,,,,N
QCDR,,,,,MBHR11,,,,,,,2026,,,,,,,,,,,
QCDR,Differential Cognitive Assessment with Safety and Risk Counseling,,,,MBHR20,MBHR Mental and Behavioral Health Registry in Collaboration with Healthmonix,4067715,"Percentage of patients, regardless of age, referred for evaluation due to concerns for cognitive impairment for whom 1) a standardized valid assessment of cognition was performed and 2) results of assessment informed determination of diagnosis or further clarified etiological factors of cognitive impairment or complaints, and 3) reporting of results included counseling on safety and potential risks for patents who displayed cognitive impairment that could negatively impact safety.",Process,N,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,,,,,PIMSH18,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,PIMSH13,Practice Insights by McKesson in Collaboration with The US Oncology Network - QCDR,8794712,,,,,,,,,,,,,,,,
QCDR,,,,,PIMSH17,Practice Insights by McKesson in Collaboration with The US Oncology Network - QCDR,8794712,,,,,,,,,,,,,,,,
QCDR,Antiemetic Therapy for Low- and Minimal-Emetic-Risk Antineoplastic Agents - Avoidance of Overuse (Lower Score - Better),,,,PIMSH19,Practice Insights by McKesson in Collaboration with The US Oncology Network - QCDR,"8794712, 2755787",Percentage of cancer patients aged 18 years and older treated with low- or minimal-emetic-risk antineoplastic agents who are administered inappropriate pre-treatment antiemetic therapy,Process,Y,2026,,QCDR,,Y,singlePerformanceRate,,,,,,,N
QCDR,Continuation of Buprenorphine for Inpatient Surgical Patients or Methadone Therapy during the Perioperative Period for Inpatient and Ambulatory Surgical Patients ,,,,AQI80,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR) in Collaboration with American Society of Anesthesiologists (ASA),"6169123, 5551268, 6775913, 9181695","Percentage of patients, age 13 and older, undergoing an inpatient surgical procedure who have an outpatient prescription for buprenorphine/naloxone or suboxone in their admissions documentation, who are continued on buprenorphine for the duration of their inpatient stay or undergoing an inpatient or ambulatory surgical procedure who are taking methadone as outpatients or who have a prescription for methadone in their admittance documentation, and where methadone is either continued or changed to an equivalent IV dose to maintain the therapeutic level regimen during the perioperative period. For patients receiving care in an ambulatory surgical setting, methadone medication was provided as scheduled before surgery.

This measure will consist of two performance rates: 
Measure A: Percentage of patients, age 13 and older, undergoing an inpatient surgical procedure who have an outpatient prescription for buprenorphine/naloxone or suboxone in their admissions documentation are continued on buprenorphine for the duration of their inpatient stay. 

Measure B: Percentage of patients, 13 years and older, undergoing an inpatient or ambulatory surgical procedure who are taking methadone as outpatients or who have a prescription for methadone in their admittance documentation and where methadone is either continued or changed to an equivalent IV dose to maintain the therapeutic level regimen during the perioperative period. For patients receiving care in an ambulatory surgical setting, methadone medication was provided as scheduled before surgery. 

NOTE: The overall measure score will be calculated as an average of the performance rates of A and B. In order to be scored on this measure, clinicians must have at least one eligible case reported for each sub-metric: Measure A and Measure B.",Process,Y,2026,,QCDR,,N,multiPerformanceRate,simpleAverage,,,,,,N
QCDR,"Use of Peripheral Nerve Blocks for Pain Management in Hip Fracture Patients

 ",,,,AQI81,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR) in Collaboration with American Society of Anesthesiologists (ASA),"6169123, 6775913, 9181695, 7418330","All patients, aged 65 and older, who are diagnosed with a hip fracture and receive peripheral nerve blocks for pain management in the emergency room or inpatient setting. ",Process,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
