Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
Quality,,,,,479,,,"This measure is a re-specified version of the measure, “Risk-adjusted readmission rate (RARR) of unplanned readmission within 30 days of hospital discharge for any condition” (NQF 1789), which was developed for patients 65 years and older using Medicare claims. This re-specified measure attributes outcomes to MIPS participating clinician groups and assesses each group’s readmission rate. The measure comprises a single summary score, derived from the results of five models, one for each of the following specialty cohorts (groups of discharge condition categories or procedure categories): medicine, surgery/gynecology, cardio-respiratory, cardiovascular, and neurology.",,,,,,,,,,,,,,,
Quality,,,,,480,,,"This measure is a re-specified version of the measure, “Hospital-level Risk-standardized Complication rate (RSCR) following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA)” (National Quality Forum 1550), which was developed for patients 65 years and older using Medicare claims. This re-specified measure attributes outcomes to Merit-based Incentive Payment System participating clinicians and/or clinician groups (“provider”) and assesses each provider’s complication rate, defined as any one of the specified complications occurring from the date of index admission to up to 90 days post date of the index procedure.",,,,,,,,,,,,,,,
Quality,Intravesical Bacillus-Calmette-Guerin for Non-Muscle Invasive Bladder Cancer,CMS646v6,,,481,,,,,,,,,,,,,,,,,,
Quality,,,,,482,,,Percentage of adult hemodialysis (HD) patient-months using a catheter continuously for three months or longer for vascular access attributable to an individual practitioner or group practice.,,,,,,,,,,,,,,,
Quality,Clinician and Clinician Group Risk-standardized Hospital Admission Rates for Patients with Multiple Chronic Conditions (MCC),,,3597,484,,,,,,,,,,,,,,,,,,
Quality,,,,,488,,,Percentage of patients aged 18--85 years with a diagnosis of diabetes who received a kidney health evaluation defined by an Estimated Glomerular Filtration Rate (eGFR) AND Urine Albumin-Creatinine Ratio (uACR) within the performance period.,,,,,,,,,,,,,,,
Quality,,,,,489,,,"Percentage of patients aged 18 years and older with a diagnosis of chronic kidney disease (CKD) (Stages 1-5, not receiving Renal Replacement Therapy (RRT)) and proteinuria who were prescribed ACE inhibitor or ARB therapy within the 12-month measurement period.",,,,,,,,,,,,,,,
Quality,Appropriate Intervention of Immune-related Diarrhea and/or Colitis in Patients Treated with Immune Checkpoint Inhibitors,,,,490,,,,,,,,,,,,,,,,,,
Quality,,,,N/A,492,,,"Annual risk-standardized rate of acute, unplanned cardiovascular-related  admissions among Medicare Fee-for-Service (FFS) patients aged 65 years and older with heart failure (HF) or cardiomyopathy.",,,,,,,,,,,,,,,
Quality,,,,,493,,,"Percentage of patients 19 years of age and older who are up-to-date on recommended routine vaccines for influenza; tetanus and diphtheria (Td) or tetanus, diphtheria and acellular pertussis (Tdap); zoster; pneumococcal; and hepatitis B.",,,,,,,,,,,,,,,
Quality,,,,"3633e
3662e",494,,,,,,,,,,,,,,,,,,
Quality,,,,3665,495,,,,,,,,,,,,,,,,,,
Quality,,,,,497,,,,,,,,,"Family Medicine, Internal Medicine, Obstetrics/Gynecology, Preventive Medicine",,,,,,,,,
Quality,Appropriate Screening and Plan of Care for Elevated Intraocular Pressure Following Intravitreal or Periocular Steroid Therapy,,,,499,,,,,,,,,,,,,,,,,,
Quality,Acute Posterior Vitreous Detachment Appropriate Examination and Follow-up,,,,500,,,,,,,,,,,,,,,,,,
Quality,Acute Posterior Vitreous Detachment and Acute Vitreous Hemorrhage Appropriate Examination and Follow-up,,,,501,,,,,,,,,,,,,,,,,,
Quality,Gains in Patient Activation Measure (PAM®) Scores at 12 Months,,,,503,,,"The Patient Activation Measure® (PAM®) is a 10- or 13- item questionnaire that assesses an individual's knowledge, skills and confidence for managing their health and health care. The measure assesses individuals on a 0-100 scale that converts to one of four levels of activation, from low (1) to high (4). The PAM® performance measure (PAM®-PM) is the change in score on the PAM® from baseline to follow-up measurement.",,,,,,,,,,,,,,,
Quality,First Year Standardized Kidney Transplant Waitlist Ratio (FYSWR),,,,510,,,,,,,,,,,,,,,,,,
Quality,Percentage of Prevalent Patients Waitlisted for Kidney Transplant (PPPW) and Percentage of Prevalent Patients Waitlisted for Kidney Transplant in Active Status (aPPPW),,,,511,,,,,,,,,,,,,,,,,,
Quality,,,,,144,,,,,,,,,,,,,,,,MIPS CQM,,
