Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
QCDR,,,,,ACEP59,,,Percentage of adult patients who came to the Emergency Department with low-risk chest pain and were discharged. ,,,,,,,,,,,,,,,
QCDR,,,,,QMM26,,,"Percentage of patients, aged 50-years-old or older, who have had a screening ultrasound for an abdominal aortic aneurysm (AAA), with positive or negative findings, that have recognized clinical follow-up recommendations documented in the final report and direct communication of findings greater than or equal to 5.5 cm in size made to the ordering provider.",,,,,,,,,,,,,,,
