Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
Quality,,,,,039,,,,,,,,,"Endocrinology, Family Medicine, Geriatrics, Internal Medicine, Obstetrics/Gynecology, Preventive Medicine, Rheumatology",,,,,,,,,
Quality,,,,,134,,,,,,,,,"Audiology, Clinical Social Work, Endocrinology, Family Medicine, Geriatrics, Internal Medicine, Mental/ Behavioral Health and  Psychiatry, Neurology, Nutrition/ Dietician, Oncology/ Hematology, Orthopedic Surgery, Pediatrics, Physical Therapy/Occupational Therapy, Preventive Medicine, Speech Language Pathology, Urology",,,,,,,,,
Quality,,,,,134SSP,,,,,,,,,"Audiology, Clinical Social Work, Endocrinology, Family Medicine, Geriatrics, Internal Medicine, Mental/ Behavioral Health and  Psychiatry, Neurology, Nutrition/ Dietician, Oncology/ Hematology, Orthopedic Surgery, Pediatrics, Physical Therapy/Occupational Therapy, Preventive Medicine, Speech Language Pathology, Urology",,,,,,,,,
