Category,Measure ID,Measure Title,Measure Description,Required,Metric Type,First Performance Year,Year Removed,Objective,Bonus,Reporting Category,Substitutes,Exclusions,Pre / Prod
PI,PI_PPHI_1,,,,,,2027,,,,,,
PI,PI_HIE_7,Electronic Prior Authorization,"For at least one medical item or service (excluding drugs) ordered by the MIPS eligible clinician during the performance period, the prior authorization is requested electronically through a Prior Authorization API using CEHRT.",FALSE,boolean,2027,,Health Information Exchange,TRUE,Bonus,NULL,NULL,NULL
