Category,Measure ID,Measure Title,Measure Description,Required,Metric Type,First Performance Year,Year Removed,Objective,Bonus,Reporting Category,Substitutes,Exclusions,Pre / Prod
PI,PI_PHCDRR_3,,"UPDATE: This measure has been suppressed for the CY 2025 performance period but is still required to be reported. To receive full credit for this measure, you’ll need to attest “Yes” or “No,” or claim an applicable exclusion. (The 25 points for this objective won’t be redistributed to another objective.)
The MIPS eligible clinician is in active engagement with a public health agency to electronically submit case reporting of reportable conditions.",,,,,,,,,,
PI,PI_EP_2_EX_1,,,,,,,,,,PI_EP_2_EX_2,,
PI,PI_EP_2_EX_2,,,,,,,,,,PI_EP_2_EX_1,,
